ID	Gene	Entrez	Cluster	Correlation
DBTMEE:0004528	Cenpf	108000	Maternal RNA	0.9578
DBTMEE:0021259	Traf5	22033	Maternal RNA	0.90422
DBTMEE:0010010	Hhat	226861	Maternal RNA	0.96219
DBTMEE:0003867	Camk1g	215303	Maternal RNA	0.99718
DBTMEE:0010706	Ipcef1	320495	Maternal RNA	0.95977
DBTMEE:0011764	Lrp11	237253	Maternal RNA	0.91316
DBTMEE:0018797	Shprh	268281	Maternal RNA	0.87586
DBTMEE:0007369	Fbxo30	71865	Maternal RNA	0.88571
DBTMEE:0004745	Cited2	17684	Maternal RNA	0.9802
DBTMEE:0021642	Txlnb	378431	Maternal RNA	0.9886
DBTMEE:0017660	Reps1	19707	Maternal RNA	0.9067
DBTMEE:0007229	Fam54a	71804	Maternal RNA	0.99977
DBTMEE:0019060	Slc2a12	353169	Maternal RNA	0.96462
DBTMEE:0020245	Taar7d	435206	Maternal RNA	0.91521
DBTMEE:0013192	Moxd1	59012	Maternal RNA	0.88549
DBTMEE:0018284	Samd3	268288	Maternal RNA	0.9815
DBTMEE:0017221	Ptprk	19272	Maternal RNA	0.98282
DBTMEE:0011448	Lama4	16775	Maternal RNA	0.94632
DBTMEE:0007759	Fyn	14360	Maternal RNA	0.97927
DBTMEE:0021256	Traf3ip2	103213	Maternal RNA	0.98093
DBTMEE:0013374	Msl3l2	73390	Maternal RNA	0.94892
DBTMEE:0016342	Pkib	18768	Maternal RNA	0.95222
DBTMEE:0007003	Fabp7	12140	Maternal RNA	0.99724
DBTMEE:0004050	Ccdc138	76138	Maternal RNA	0.96846
DBTMEE:0015696	P4ha1	18451	Maternal RNA	0.97705
DBTMEE:0002943	Ascc1	69090	Maternal RNA	0.97623
DBTMEE:0015837	Pcbd1	13180	Maternal RNA	0.99836
DBTMEE:0005339	Ctnna3	216033	Maternal RNA	0.95515
DBTMEE:0006574	Egr2	13654	Maternal RNA	0.94907
DBTMEE:0018193	Rtkn2	170799	Maternal RNA	0.98255
DBTMEE:0007081	Fam13c	71721	Maternal RNA	0.98725
DBTMEE:0017346	Rab36	76877	Maternal RNA	0.95703
DBTMEE:0008001	Ggt1	14598	Maternal RNA	0.98643
DBTMEE:0005957	Derl3	70377	Maternal RNA	0.98105
DBTMEE:0009011	Gm5134	333669	Maternal RNA	0.9574
DBTMEE:0012200	Mcm3ap	54387	Maternal RNA	0.93506
DBTMEE:0016551	Pofut2	80294	Maternal RNA	0.96088
DBTMEE:0006190	Dnmt3l	54427	Maternal RNA	0.99966
DBTMEE:0010401	Icosl	50723	Maternal RNA	0.99431
DBTMEE:0011975	Madcam1	17123	Maternal RNA	0.99958
DBTMEE:0004737	Cirbp	12696	Maternal RNA	0.98811
DBTMEE:0010857	Izumo4	71564	Maternal RNA	0.9206
DBTMEE:0023234	Zfr2	103406	Maternal RNA	0.9882
DBTMEE:0021659	Txnrd1	50493	Maternal RNA	0.99053
DBTMEE:0004703	Chst11	58250	Maternal RNA	0.96631
DBTMEE:0005601	D10Wsu102e	28109	Maternal RNA	0.9915
DBTMEE:0003632	Btbd11	74007	Maternal RNA	0.98257
DBTMEE:0007389	Fbxo7	69754	Maternal RNA	0.88638
DBTMEE:0003281	BC030307	103220	Maternal RNA	0.90207
DBTMEE:0010494	Igf1	16000	Maternal RNA	0.98908
DBTMEE:0003051	Atp2b1	67972	Maternal RNA	0.96859
DBTMEE:0012388	Mgat4c	67569	Maternal RNA	0.97912
DBTMEE:0003403	Bbs10	71769	Maternal RNA	0.90562
DBTMEE:0010943	Kcnc2	268345	Maternal RNA	0.9781
DBTMEE:0017212	Ptprb	19263	Maternal RNA	0.97092
DBTMEE:0003476	Best3	382427	Maternal RNA	0.95704
DBTMEE:0011778	Lrrc10	237560	Maternal RNA	0.94701
DBTMEE:0010594	Il22	50929	Maternal RNA	0.99937
DBTMEE:0009404	Gns	75612	Maternal RNA	0.91754
DBTMEE:0003299	BC048403	270802	Maternal RNA	0.94998
DBTMEE:0011757	Lrig3	320398	Maternal RNA	0.99218
DBTMEE:0002259	Agap2	216439	Maternal RNA	0.9258
DBTMEE:0005814	Ddit3	13198	Maternal RNA	0.90513
DBTMEE:0019987	Stat6	20852	Maternal RNA	0.95953
DBTMEE:0013585	Myo1a	432516	Maternal RNA	0.97292
DBTMEE:0018472	Sdr9c7	70061	Maternal RNA	0.99863
DBTMEE:0015589	Oprm1	18390	Maternal RNA	0.97799
DBTMEE:0006882	Esr1	13982	Maternal RNA	0.98925
DBTMEE:0013429	Mthfd1l	270685	Maternal RNA	0.94873
DBTMEE:0010853	Iyd	70337	Maternal RNA	0.97868
DBTMEE:0017341	Rab32	67844	Maternal RNA	0.97824
DBTMEE:0016160	Phactr2	215789	Maternal RNA	0.90548
DBTMEE:0002316	Aig1	66253	Maternal RNA	0.99008
DBTMEE:0022434	Vta1	66201	Maternal RNA	0.95471
DBTMEE:0015999	Pde7b	29863	Maternal RNA	0.99347
DBTMEE:0023340	Zufsp	72580	Maternal RNA	0.97033
DBTMEE:0000262	1700025K23Rik	66337	Maternal RNA	0.96439
DBTMEE:0022591	Wisp3	327743	Maternal RNA	0.95016
DBTMEE:0003264	BC021785		Maternal RNA	0.98872
DBTMEE:0007780	G630090E17Rik		Maternal RNA	0.98872
DBTMEE:0004070	Ccdc162	75973	Maternal RNA	0.98459
DBTMEE:0004556	Cep57l1	103268	Maternal RNA	0.95151
DBTMEE:0014169	Nr2e1	21907	Maternal RNA	0.94683
DBTMEE:0019582	Sobp	109205	Maternal RNA	0.94783
DBTMEE:0002317	Aim1	11630	Maternal RNA	0.99988
DBTMEE:0016813	Prdm1	12142	Maternal RNA	0.94186
DBTMEE:0012031	Man1a	17155	Maternal RNA	0.95263
DBTMEE:0005661	D630037F22Rik	544696	Maternal RNA	0.94616
DBTMEE:0014423	Oit3	18302	Maternal RNA	0.94647
DBTMEE:0002498	Anapc16	52717	Maternal RNA	0.95214
DBTMEE:0019850	Srgn	19073	Maternal RNA	0.97511
DBTMEE:0009707	Gstt3	103140	Maternal RNA	0.99505
DBTMEE:0006033	Dip2a	64451	Maternal RNA	0.86946
DBTMEE:0002324	Aire	11634	Maternal RNA	0.99815
DBTMEE:0005600	D10Jhu81e	28295	Maternal RNA	0.99729
DBTMEE:0004018	Ccdc105	70976	Maternal RNA	0.94968
DBTMEE:0012419	Mier2	70427	Maternal RNA	0.9638
DBTMEE:0014407	Odf3l2	382384	Maternal RNA	0.98443
DBTMEE:0017891	Rnf126	70294	Maternal RNA	0.99626
DBTMEE:0003249	BC005764	216152	Maternal RNA	0.90045
DBTMEE:0006036	Diras1	208666	Maternal RNA	0.96677
DBTMEE:0010129	Hmg20b	15353	Maternal RNA	0.81578
DBTMEE:0000904	4930404N11Rik	432479	Maternal RNA	0.94677
DBTMEE:0007771	Fzr1	56371	Maternal RNA	0.99592
DBTMEE:0023202	Zfp938	237411	Maternal RNA	0.93703
DBTMEE:0008111	Glt8d2	74782	Maternal RNA	0.98982
DBTMEE:0014263	Nuak1	77976	Maternal RNA	0.93007
DBTMEE:0007515	Fhl4	14202	Maternal RNA	0.97304
DBTMEE:0020184	Syn3	27204	Maternal RNA	0.99095
DBTMEE:0018938	Slc17a8	216227	Maternal RNA	0.88651
DBTMEE:0006666	Elk3	13713	Maternal RNA	0.97859
DBTMEE:0002462	Amdhd1	71761	Maternal RNA	0.99041
DBTMEE:0005168	Cradd	12905	Maternal RNA	0.92345
DBTMEE:0014260	Nts	67405	Maternal RNA	0.9575
DBTMEE:0011844	Lrriq1	74978	Maternal RNA	0.96679
DBTMEE:0017226	Ptprq	237523	Maternal RNA	0.95775
DBTMEE:0020210	Syt1	20979	Maternal RNA	0.99889
DBTMEE:0017328	Rab21	216344	Maternal RNA	0.94899
DBTMEE:0020641	Thap2	66816	Maternal RNA	0.88902
DBTMEE:0001330	4933416C03Rik	619332	Maternal RNA	0.96724
DBTMEE:0010630	Iltifb	116849	Maternal RNA	0.99489
DBTMEE:0013384	Msrb3	320183	Maternal RNA	0.98361
DBTMEE:0020386	Tbc1d30	74694	Maternal RNA	0.99948
DBTMEE:0018928	Slc16a7	20503	Maternal RNA	0.98796
DBTMEE:0019036	Slc26a10	216441	Maternal RNA	0.92391
DBTMEE:0011762	Lrp1	16971	Maternal RNA	0.98929
DBTMEE:0010597	Il23a	83430	Maternal RNA	0.9684
DBTMEE:0015405	Olfr810	258543	Maternal RNA	0.99331
DBTMEE:0006641	Eif4enif1	74203	Maternal RNA	0.93382
DBTMEE:0016272	Pik3ip1	216505	Maternal RNA	0.96019
DBTMEE:0018673	Sf3a1	67465	Maternal RNA	0.94943
DBTMEE:0020367	Tbc1d10a	103724	Maternal RNA	0.9416
DBTMEE:0013962	Nipsnap1	18082	Maternal RNA	0.97891
DBTMEE:0002626	Ap1b1	11764	Maternal RNA	0.98048
DBTMEE:0002561	Ankrd36	76389	Maternal RNA	0.95317
DBTMEE:0002181	Adcy1	432530	Maternal RNA	0.94529
DBTMEE:0022448	Vwc2	319922	Maternal RNA	0.98754
DBTMEE:0010537	Ikzf1	22778	Maternal RNA	0.98439
DBTMEE:0009906	Hbq1a	216635	Maternal RNA	0.94913
DBTMEE:0011001	Kcnmb1	16533	Maternal RNA	0.96776
DBTMEE:0007157	Fam196b	574403	Maternal RNA	0.98598
DBTMEE:0019273	Slit3	20564	Maternal RNA	0.99137
DBTMEE:0012383	Mgat1	17308	Maternal RNA	0.98512
DBTMEE:0005003	Col23a1	237759	Maternal RNA	0.99017
DBTMEE:0002296	Agxt2l2	72947	Maternal RNA	0.96719
DBTMEE:0004462	Cdkn2aipnl	52626	Maternal RNA	0.9796
DBTMEE:0018875	Skp1a	21402	Maternal RNA	0.99975
DBTMEE:0001609	9530068E07Rik	213673	Maternal RNA	0.95614
DBTMEE:0022800	Zcchc10	67966	Maternal RNA	0.94721
DBTMEE:0011112	Kif3a	16568	Maternal RNA	0.9534
DBTMEE:0000901	4930404A10Rik	74847	Maternal RNA	0.98168
DBTMEE:0012352	Mfap3	216760	Maternal RNA	0.98818
DBTMEE:0023106	Zfp692	103836	Maternal RNA	0.92628
DBTMEE:0014999	Olfr316	258064	Maternal RNA	0.99377
DBTMEE:0014998	Olfr315	258531	Maternal RNA	0.89462
DBTMEE:0021310	Trim11	94091	Maternal RNA	0.98939
DBTMEE:0017425	Rai1	19377	Maternal RNA	0.99932
DBTMEE:0002425	Alkbh5	268420	Maternal RNA	0.98838
DBTMEE:0002393	Aldh3a1	11670	Maternal RNA	0.94892
DBTMEE:0007148	Fam18b	67510	Maternal RNA	0.96814
DBTMEE:0006652	Elac2	68626	Maternal RNA	0.97688
DBTMEE:0023269	Zkscan6	52712	Maternal RNA	0.93607
DBTMEE:0013555	Myh4	17884	Maternal RNA	0.91789
DBTMEE:0007882	Gas7	14457	Maternal RNA	0.91332
DBTMEE:0020070	Stx8	55943	Maternal RNA	0.95237
DBTMEE:0020824	Tmem107	66910	Maternal RNA	0.99963
DBTMEE:0016081	Per1	18626	Maternal RNA	0.99082
DBTMEE:0021272	Trappc1	245828	Maternal RNA	0.97834
DBTMEE:0022694	Ybx2	53422	Maternal RNA	0.96573
DBTMEE:0002954	Asgr2	11890	Maternal RNA	0.99468
DBTMEE:0022937	Zfp3	193043	Maternal RNA	0.96018
DBTMEE:0021650	Txndc17	52700	Maternal RNA	0.78736
DBTMEE:0007376	Fbxo39	628100	Maternal RNA	0.98979
DBTMEE:0021442	Trpv3	246788	Maternal RNA	0.99427
DBTMEE:0017815	Rilp	280408	Maternal RNA	0.86058
DBTMEE:0010676	Inpp5k	19062	Maternal RNA	0.98114
DBTMEE:0003493	Bhlha9	320522	Maternal RNA	0.99928
DBTMEE:0016173	Phf12	268448	Maternal RNA	0.886
DBTMEE:0020736	Tlcd1	68385	Maternal RNA	0.90907
DBTMEE:0004180	Ccl2	20296	Maternal RNA	0.89343
DBTMEE:0020849	Tmem132e	270893	Maternal RNA	0.92497
DBTMEE:0017498	Rasl10b	276952	Maternal RNA	0.98012
DBTMEE:0009953	Heatr6	217026	Maternal RNA	0.97806
DBTMEE:0010160	Hnf1b	21410	Maternal RNA	0.95869
DBTMEE:0020425	Tbx4	21387	Maternal RNA	0.94478
DBTMEE:0021613	Tubd1	56427	Maternal RNA	0.99077
DBTMEE:0013446	Mtmr4	170749	Maternal RNA	0.99159
DBTMEE:0017950	Rnf43	207742	Maternal RNA	0.98702
DBTMEE:0013077	Mks1	380718	Maternal RNA	0.96914
DBTMEE:0013109	Mmd	67468	Maternal RNA	0.94774
DBTMEE:0003916	Car10	72605	Maternal RNA	0.98796
DBTMEE:0010212	Hoxb4	15412	Maternal RNA	0.95255
DBTMEE:0010210	Hoxb2	103889	Maternal RNA	0.99109
DBTMEE:0018855	Skap1	78473	Maternal RNA	0.97108
DBTMEE:0005064	Copz2	56358	Maternal RNA	0.9797
DBTMEE:0023310	Zpbp2	69376	Maternal RNA	0.98876
DBTMEE:0004974	Coasy	71743	Maternal RNA	0.992
DBTMEE:0022392	Vps25	28084	Maternal RNA	0.94575
DBTMEE:0007785	G6pc3	68401	Maternal RNA	0.95263
DBTMEE:0009998	Hexim2	71059	Maternal RNA	0.98559
DBTMEE:0022605	Wnt3	22415	Maternal RNA	0.98953
DBTMEE:0013567	Myl4	17896	Maternal RNA	0.97736
DBTMEE:0004110	Ccdc45	320162	Maternal RNA	0.98374
DBTMEE:0000483	1810010H24Rik	69066	Maternal RNA	0.93125
DBTMEE:0003152	Axin2	12006	Maternal RNA	0.94744
DBTMEE:0002492	Amz2	13929	Maternal RNA	0.98743
DBTMEE:0002903	Arsg	74008	Maternal RNA	0.98338
DBTMEE:0003511	Birc5	11799	Maternal RNA	0.96072
DBTMEE:0016158	Pgs1	74451	Maternal RNA	0.96421
DBTMEE:0007701	Fscn2	238021	Maternal RNA	0.89125
DBTMEE:0002970	Aspscr1	68938	Maternal RNA	0.93154
DBTMEE:0009578	Gps1	209318	Maternal RNA	0.88662
DBTMEE:0009996	Hexdc	238023	Maternal RNA	0.96633
DBTMEE:0007589	Fn3k	63828	Maternal RNA	0.99298
DBTMEE:0017922	Rnf185	193670	Maternal RNA	0.97105
DBTMEE:0010675	Inpp5j	170835	Maternal RNA	0.98193
DBTMEE:0015610	Osbp2	74309	Maternal RNA	0.94034
DBTMEE:0020471	Tcn2	21452	Maternal RNA	0.99362
DBTMEE:0013839	Nefh	380684	Maternal RNA	0.96467
DBTMEE:0011290	Kremen1	84035	Maternal RNA	0.97462
DBTMEE:0013656	Nacad	192950	Maternal RNA	0.93034
DBTMEE:0007527	Fignl1	60530	Maternal RNA	0.8947
DBTMEE:0012229	Mdh1	17449	Maternal RNA	0.96414
DBTMEE:0015661	Otx1	18423	Maternal RNA	0.95402
DBTMEE:0000414	1700093K21Rik	67358	Maternal RNA	0.96814
DBTMEE:0015768	Papolg	216578	Maternal RNA	0.99126
DBTMEE:0004017	Ccdc104	216618	Maternal RNA	0.97603
DBTMEE:0001250	4931440F15Rik	216622	Maternal RNA	0.97896
DBTMEE:0001062	4930505A04Rik	75087	Maternal RNA	0.97073
DBTMEE:0006858	Erlec1	66753	Maternal RNA	0.94755
DBTMEE:0003558	Bod1	69556	Maternal RNA	0.95823
DBTMEE:0014140	Nprl3	17168	Maternal RNA	0.97507
DBTMEE:0020763	Tlx3	27140	Maternal RNA	0.98731
DBTMEE:0010967	Kcnip1	70357	Maternal RNA	0.95262
DBTMEE:0007002	Fabp6	16204	Maternal RNA	0.99597
DBTMEE:0002225	Adra1b	11548	Maternal RNA	0.95023
DBTMEE:0011866	Lsm11	72290	Maternal RNA	0.94194
DBTMEE:0005457	Cyfip2	76884	Maternal RNA	0.94445
DBTMEE:0018209	Rufy1	216724	Maternal RNA	0.99104
DBTMEE:0022957	Zfp354b	27274	Maternal RNA	0.99964
DBTMEE:0000006	0610009B22Rik	66050	Maternal RNA	0.96435
DBTMEE:0010552	Il13	16163	Maternal RNA	0.98271
DBTMEE:0002614	Anxa6	11749	Maternal RNA	0.98101
DBTMEE:0004133	Ccdc69	52570	Maternal RNA	0.9882
DBTMEE:0017924	Rnf187	108660	Maternal RNA	0.98298
DBTMEE:0014388	Obscn	380698	Maternal RNA	0.98935
DBTMEE:0019387	Snap47	67826	Maternal RNA	0.95946
DBTMEE:0023264	Zkscan17	268417	Maternal RNA	0.99745
DBTMEE:0008623	Gm16515	24083	Maternal RNA	0.98895
DBTMEE:0019166	Slc47a2	380701	Maternal RNA	0.97313
DBTMEE:0019183	Slc5a10	109342	Maternal RNA	0.95462
DBTMEE:0023338	Zswim7	69747	Maternal RNA	0.98727
DBTMEE:0007174	BC046404	192976	Maternal RNA	0.9595
DBTMEE:0013765	Ndel1	83431	Maternal RNA	0.97768
DBTMEE:0001988	Acap1	216859	Maternal RNA	0.96785
DBTMEE:0000754	2810408A11Rik	70419	Maternal RNA	0.99753
DBTMEE:0018921	Slc16a13	69309	Maternal RNA	0.99461
DBTMEE:0000012	0610010K14Rik	104457	Maternal RNA	0.93507
